link_id,road_name,st_node_nm,ed_node_nm,map_dist,reg_cd,speed,travel_time
1020001100,강변북로,이촌대림아파트(강변북로),이촌대림아파트(강변북로),273,102,68.0,14
1130000300,강변북로,강변북로마포-서강,마포대교북단,591,113,77.0,28
1020000100,강변북로,한강시민공원이촌지구,동작대교북단,1457,102,67.0,78
1020000500,강변북로,한강대교북단,한강시민공원이촌지구,710,102,67.0,38
1020000700,강변북로,이촌대림아파트(강변북로),한강대교북단,681,102,68.0,36
1020001300,강변북로,원효로진출입(강변북로),이촌대림아파트(강변북로),1010,102,75.0,48
1020001000,강변북로,반포대교북단,한남대교북단,1900,102,61.0,112
1020000400,강변북로,동작대교북단,반포대교북단,1066,102,74.0,52
1030001200,강변북로,동호대교북단,동부간선도로강변북로분기점,1397,102,72.0,70
1020001600,강변북로,한남대교북단,동호대교북단,1059,102,74.0,52
1030000700,강변북로,성수대교북단,성수대교북단램프(강변북로),251,103,79.0,11
1030000500,강변북로,성수대교북단램프(강변북로),뚝섬정수장앞,512,103,79.0,23
1030000900,강변북로,동부간선도로강변북로분기점,성수대교북단,599,103,79.0,27
1040000700,강변북로,영동대교북단,청담대교북단,715,104,76.0,34
1040000100,강변북로,청담대교북단,잠실대교북단,2030,104,83.0,88
1030000300,강변북로,뚝섬정수장앞,영동대교북단,1455,103,76.0,69
1040000600,강변북로,잠실대교북단,잠실철교북단,867,104,87.0,36
1040001200,강변북로,잠실철교북단,올림픽대교북단,1009,104,74.0,49
1040002200,강변북로,천호대교북단,광진교북단,255,104,85.0,11
1040004200,강변북로,광진교북단,강변북로구리시계,1479,104,85.0,63
1210004700,경부고속도로,잠원IC북측,반포IC북측경부고속진입,754,121,78.0,35
1040001600,강변북로,올림픽대교북단,천호대교북단,568,104,87.0,24
1210004100,경부고속도로,반포IC북측경부고속진입,서초IC북측남부순환진출,1980,121,72.0,99
1210005100,경부고속도로,한남IC남측,잠원IC북측,1325,121,73.0,65
2210000600,강변북로,강변북로구리시계,토평삼거리,1991,104,67.0,107
1210000800,경부고속도로,양재IC남측(경부선부산방향합류),경부고속도로(만남의광장),295,121,89.2,12
1210003900,경부고속도로,서초IC북측남부순환진출,서초IC남측,548,121,72.0,27
1210003000,경부고속도로,서초IC남측,양재IC북측,1999,121,84.0,86
1210001900,경부고속도로,양재IC북측,양재IC남측(경부선부산방향합류),596,121,84.0,26
2040002902,경부고속도로,경부고속도로(만남의광장),달래네고개,2716,121,90.5,108
2060011401,경부고속도로,달래네고개,판교JC 남측(경부선 본선),5260,121,94.1,201
1210004200,경부고속도로,서초IC북측,반포IC북측사평대로진출,1981,121,77.0,93
1210002000,경부고속도로,양재IC2,양재IC북측,596,121,88.0,24
1210000701,경부고속도로,달래네고개,양재IC2,3015,121,98.5,110
2060011501,경부고속도로,판교JC 남측(경부선 본선),달래네고개,5258,121,97.3,194
1210004000,경부고속도로,서초IC남측,서초IC북측,548,121,77.0,26
1210002900,경부고속도로,양재IC북측,서초IC남측,1995,121,88.0,82
1210005200,경부고속도로,반포IC북측사평대로진출,한남IC,2105,121,78.0,97
1140022200,국회대로 지하차도,신월IC,화곡고가사거리,961,114,68.0,51
1140026200,국회대로 지하차도,화곡고가사거리,목동지하차도(서측),1394,114,40.0,125
1140029200,국회대로 지하차도,목동지하차도(서측),목동주경기장,2176,114,49.1,160
1140029100,국회대로 지하차도,목동주경기장,목동지하차도(서측),2181,114,47.0,167
1140040500,국회대로 지하차도,화곡고가사거리,신월IC,961,114,56.0,62
1130004900,내부순환로,성산분기점(내부순환로),성산진입램프(내부순환로),478,113,77.0,22
1130006600,내부순환로,성산진입램프(내부순환로),연희램프(내부순환로),2104,113,67.0,113
1120001400,내부순환로,연희램프(내부순환로),홍제램프(내부순환로),2173,112,70.0,112
1140040700,국회대로 지하차도,목동지하차도(서측),화곡고가사거리,1395,114,64.0,78
1120001800,내부순환로,홍제램프(내부순환로),홍은램프(내부순환도로),2088,112,71.0,106
1120002200,내부순환로,홍은램프(내부순환도로),홍은램프진입(내부순환로),169,112,71.0,9
1000002600,내부순환로,홍지문터널북측,정릉터널동측(내부순환로),1848,100,58.0,115
1120002400,내부순환로,홍은램프진입(내부순환로),홍지문터널북측,2021,112,53.0,137
1070001300,내부순환로,정릉터널동측(내부순환로),정릉램프(내부순환로본선),812,107,70.0,42
1070000300,내부순환로,정릉램프(내부순환로본선),길음램프(내부순환로),2532,107,68.0,134
1070000500,내부순환로,길음램프(내부순환로),종암JC,795,107,65.0,44
1050003200,내부순환로,종암JC,월곡램프(내부순환로),996,107,82.0,44
1030002700,내부순환로,마장램프(내부순환로),사근램프(내부순환로본선),2321,105,84.0,99
1050001800,내부순환로,월곡램프(내부순환로),마장램프(내부순환로),2386,105,76.0,113
