stdDate,stdHour,routeNo,routeName,conzoneId,conzoneName,vdsId,trafficAmout,speed,shareRatio,timeAvg,grade,updownTypeCode
20251106,1739,1100,제2경인선,1100CZE030,문학IC-남동IC,1100VDE00700,30,13,47,182,3,E
20251106,1739,1100,제2경인선,1100CZS040,서창JC-남동IC,1100VDS00800,26,23,47,204,3,S
20251106,1739,1100,제2경인선,1100CZS040,서창JC-남동IC,1100VDS00900,26,23,47,148,3,S
20251106,1739,1100,제2경인선,1100CZS070,안현JC-신천IC,1100VDS01200,51,38,18,80,3,S
20251106,1739,1100,제2경인선,1100CZS070,안현JC-신천IC,1100VDS01300,51,38,18,130,3,S
20251106,1739,1100,제2경인선,1100CZS070,안현JC-신천IC,1100VDS01400,51,38,18,106,3,S
20251106,1739,1100,제2경인선,1100CZS090,일직JC-광명IC,1100VDS01700,63,34,30,50,3,S
20251106,1739,1200,경인선,1200CZE080,부천IC-신월IC,1200VDE02200,61,37,1,119,3,E
20251106,1739,1201,신월여의지하도로,1201CZS010,여의도JC-신월IC,1201VDS00010,35,36,7,179,3,S
20251106,1739,1201,신월여의지하도로,1201CZS010,여의도JC-신월IC,1201VDS00020,39,25,11,142,3,S
20251106,1739,1201,신월여의지하도로,1201CZS010,여의도JC-신월IC,1201VDS00030,35,23,25,152,3,S
20251106,1739,1201,신월여의지하도로,1201CZS010,여의도JC-신월IC,1201VDS00040,36,19,13,171,3,S
20251106,1739,1201,신월여의지하도로,1201CZS010,여의도JC-신월IC,1201VDS00060,21,7,45,579,3,S
20251106,1739,1201,신월여의지하도로,1201CZS020,신월여의지하도로종점-여의도JC,1201VDS00070,16,9,16,216,3,S
20251106,1739,1201,신월여의지하도로,1201CZS020,신월여의지하도로종점-여의도JC,1201VDS00080,16,9,16,205,3,S
20251106,1739,1710,용인서울선,1710CZE040,금광지하차도남측-금광지하차도북측,1710VDE00020,39,33,15,112,3,E
20251106,1739,1710,용인서울선,1710CZE050,금광지하차도북측-광교IC,1710VDE00030,47,19,30,111,3,E
20251106,1739,1710,용인서울선,1710CZE060,광교IC-서수지IC,1710VDE00040,52,18,29,217,3,E
20251106,1739,1710,용인서울선,1710CZS110,고기JC북측-고기JC남측,1710VDS00100,43,15,37,198,3,S
20251106,1739,1710,용인서울선,1710CZS130,하산운터널북측-하산운터널남측,1710VDS00110,56,23,26,82,3,S
